time,strategy,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2020-03-18 11:30:00-04:00,StockMachineLearningLstm,NVDA,buy,market,fill,1,gtc,0.0,1,stock,50.0877,817,0.0
2020-03-18 13:00:00-04:00,StockMachineLearningLstm,NVDA,sell,market,new,1,gtc,0.0,1,stock,,,
2020-03-18 13:00:00-04:00,StockMachineLearningLstm,NVDA,sell,market,fill,1,gtc,0.0,1,stock,48.25,821,0.0
2020-03-18 15:30:00-04:00,StockMachineLearningLstm,NVDA,buy,market,new,1,gtc,0.0,1,stock,,,
2020-03-18 15:30:00-04:00,StockMachineLearningLstm,NVDA,buy,market,fill,1,gtc,0.0,1,stock,46.985,835,0.0
2020-03-19 09:45:00-04:00,StockMachineLearningLstm,NVDA,sell,market,new,1,gtc,0.0,1,stock,,,
2020-03-19 09:45:00-04:00,StockMachineLearningLstm,NVDA,sell,market,fill,1,gtc,0.0,1,stock,48.8475,830,0.0
2020-03-19 11:00:00-04:00,StockMachineLearningLstm,NVDA,buy,market,new,1,gtc,0.0,1,stock,,,
2020-03-19 11:00:00-04:00,StockMachineLearningLstm,NVDA,buy,market,fill,1,gtc,0.0,1,stock,50.3155,815,0.0
2020-03-19 13:45:00-04:00,StockMachineLearningLstm,NVDA,sell,market,new,1,gtc,0.0,1,stock,,,
2020-03-19 13:45:00-04:00,StockMachineLearningLstm,NVDA,sell,market,fill,1,gtc,0.0,1,stock,51.97,812,0.0
2020-03-20 09:30:00-04:00,StockMachineLearningLstm,NVDA,buy,market,new,1,gtc,0.0,1,stock,,,
2020-03-20 09:30:00-04:00,StockMachineLearningLstm,NVDA,buy,market,fill,1,gtc,0.0,1,stock,54.75,787,0.0
2020-03-20 12:45:00-04:00,StockMachineLearningLstm,NVDA,sell,market,new,1,gtc,0.0,1,stock,,,
2020-03-20 12:45:00-04:00,StockMachineLearningLstm,NVDA,sell,market,fill,1,gtc,0.0,1,stock,54.2708,788,0.0
2020-03-23 09:30:00-04:00,StockMachineLearningLstm,NVDA,sell,market,new,1,gtc,0.0,1,stock,,,
2020-03-23 09:30:00-04:00,StockMachineLearningLstm,NVDA,sell,market,fill,1,gtc,0.0,1,stock,51.4275,813,0.0
2020-03-23 10:00:00-04:00,StockMachineLearningLstm,NVDA,buy,market,new,1,gtc,0.0,1,stock,,,
2020-03-23 10:00:00-04:00,StockMachineLearningLstm,NVDA,buy,market,fill,1,gtc,0.0,1,stock,52.83,791,0.0
2020-03-23 10:30:00-04:00,StockMachineLearningLstm,NVDA,buy,market,new,1,gtc,0.0,1,stock,,,
2020-03-23 10:30:00-04:00,StockMachineLearningLstm,NVDA,buy,market,fill,1,gtc,0.0,1,stock,52.6338,793,0.0
2020-03-23 11:15:00-04:00,StockMachineLearningLstm,NVDA,sell,market,new,1,gtc,0.0,1,stock,,,
2020-03-23 11:15:00-04:00,StockMachineLearningLstm,NVDA,sell,market,fill,1,gtc,0.0,1,stock,52.1113,794,0.0
2020-03-23 13:45:00-04:00,StockMachineLearningLstm,NVDA,sell,market,new,1,gtc,0.0,1,stock,,,
2020-03-23 13:45:00-04:00,StockMachineLearningLstm,NVDA,sell,market,fill,1,gtc,0.0,1,stock,52.67,789,0.0
2020-03-24 10:30:00-04:00,StockMachineLearningLstm,NVDA,buy,market,new,1,gtc,0.0,1,stock,,,
2020-03-24 10:30:00-04:00,StockMachineLearningLstm,NVDA,buy,market,fill,1,gtc,0.0,1,stock,60.8925,678,0.0
2020-03-25 15:45:00-04:00,StockMachineLearningLstm,NVDA,buy,market,new,1,gtc,0.0,1,stock,,,
2020-03-25 15:45:00-04:00,StockMachineLearningLstm,NVDA,buy,market,fill,1,gtc,0.0,1,stock,63.2125,663,0.0
2020-03-26 09:30:00-04:00,StockMachineLearningLstm,NVDA,sell,market,new,1,gtc,0.0,1,stock,,,
2020-03-26 09:30:00-04:00,StockMachineLearningLstm,NVDA,sell,market,fill,1,gtc,0.0,1,stock,63.485,662,0.0
2020-03-26 09:45:00-04:00,StockMachineLearningLstm,NVDA,sell,market,new,1,gtc,0.0,1,stock,,,
2020-03-26 09:45:00-04:00,StockMachineLearningLstm,NVDA,sell,market,fill,1,gtc,0.0,1,stock,63.13,665,0.0
2020-03-27 09:30:00-04:00,StockMachineLearningLstm,NVDA,buy,market,new,1,gtc,0.0,1,stock,,,
2020-03-27 09:30:00-04:00,StockMachineLearningLstm,NVDA,buy,market,fill,1,gtc,0.0,1,stock,62.5,671,0.0
2020-03-31 09:30:00-04:00,StockMachineLearningLstm,NVDA,buy,market,new,1,gtc,0.0,1,stock,,,
2020-03-31 09:30:00-04:00,StockMachineLearningLstm,NVDA,buy,market,fill,1,gtc,0.0,1,stock,66.8,646,0.0
2020-04-08 09:30:00-04:00,StockMachineLearningLstm,NVDA,sell,market,new,1,gtc,0.0,1,stock,,,
2020-04-08 09:30:00-04:00,StockMachineLearningLstm,NVDA,sell,market,fill,1,gtc,0.0,1,stock,65.8525,647,0.0
2020-04-09 09:30:00-04:00,StockMachineLearningLstm,NVDA,buy,market,new,1,gtc,0.0,1,stock,,,
2020-04-09 09:30:00-04:00,StockMachineLearningLstm,NVDA,buy,market,fill,1,gtc,0.0,1,stock,68.0,635,0.0
2020-06-02 09:30:00-04:00,StockMachineLearningLstm,NVDA,sell,market,new,1,gtc,0.0,1,stock,,,
2020-06-02 09:30:00-04:00,StockMachineLearningLstm,NVDA,sell,market,fill,1,gtc,0.0,1,stock,87.9625,618,0.0
2020-06-05 09:30:00-04:00,StockMachineLearningLstm,NVDA,sell,market,new,1,gtc,0.0,1,stock,,,
2020-06-05 09:30:00-04:00,StockMachineLearningLstm,NVDA,sell,market,fill,1,gtc,0.0,1,stock,87.945,618,0.0
2020-06-16 09:30:00-04:00,StockMachineLearningLstm,NVDA,buy,market,new,1,gtc,0.0,1,stock,,,
2020-06-16 09:30:00-04:00,StockMachineLearningLstm,NVDA,buy,market,fill,1,gtc,0.0,1,stock,92.25,590,0.0
2020-07-06 09:30:00-04:00,StockMachineLearningLstm,NVDA,sell,market,new,1,gtc,0.0,1,stock,,,
2020-07-06 09:30:00-04:00,StockMachineLearningLstm,NVDA,sell,market,fill,1,gtc,0.0,1,stock,97.4175,573,0.0
2020-07-07 09:30:00-04:00,StockMachineLearningLstm,NVDA,buy,market,new,1,gtc,0.0,1,stock,,,
2020-07-07 09:30:00-04:00,StockMachineLearningLstm,NVDA,buy,market,fill,1,gtc,0.0,1,stock,99.4625,561,0.0
2020-07-14 10:45:00-04:00,StockMachineLearningLstm,NVDA,sell,market,new,1,gtc,0.0,1,stock,,,
2020-07-14 10:45:00-04:00,StockMachineLearningLstm,NVDA,sell,market,fill,1,gtc,0.0,1,stock,99.915,560,0.0
2020-07-15 09:30:00-04:00,StockMachineLearningLstm,NVDA,buy,market,new,1,gtc,0.0,1,stock,,,
2020-07-15 09:30:00-04:00,StockMachineLearningLstm,NVDA,buy,market,fill,1,gtc,0.0,1,stock,104.1425,537,0.0
2020-07-17 09:30:00-04:00,StockMachineLearningLstm,NVDA,sell,market,new,1,gtc,0.0,1,stock,,,
2020-07-17 09:30:00-04:00,StockMachineLearningLstm,NVDA,sell,market,fill,1,gtc,0.0,1,stock,102.255,543,0.0
2020-07-21 09:30:00-04:00,StockMachineLearningLstm,NVDA,buy,market,new,1,gtc,0.0,1,stock,,,
2020-07-21 09:30:00-04:00,StockMachineLearningLstm,NVDA,buy,market,fill,1,gtc,0.0,1,stock,105.13,528,0.0
2020-07-23 09:30:00-04:00,StockMachineLearningLstm,NVDA,buy,market,new,1,gtc,0.0,1,stock,,,
2020-07-23 09:30:00-04:00,StockMachineLearningLstm,NVDA,buy,market,fill,1,gtc,0.0,1,stock,104.5,530,0.0
2020-07-30 09:30:00-04:00,StockMachineLearningLstm,NVDA,sell,market,new,1,gtc,0.0,1,stock,,,
2020-07-30 09:30:00-04:00,StockMachineLearningLstm,NVDA,sell,market,fill,1,gtc,0.0,1,stock,103.75,530,0.0
2020-07-31 09:30:00-04:00,StockMachineLearningLstm,NVDA,sell,market,new,1,gtc,0.0,1,stock,,,
2020-07-31 09:30:00-04:00,StockMachineLearningLstm,NVDA,sell,market,fill,1,gtc,0.0,1,stock,105.6325,525,0.0
2020-08-03 09:30:00-04:00,StockMachineLearningLstm,NVDA,buy,market,new,1,gtc,0.0,1,stock,,,
2020-08-03 09:30:00-04:00,StockMachineLearningLstm,NVDA,buy,market,fill,1,gtc,0.0,1,stock,107.325,517,0.0
2020-08-07 09:30:00-04:00,StockMachineLearningLstm,NVDA,buy,market,new,1,gtc,0.0,1,stock,,,
2020-08-07 09:30:00-04:00,StockMachineLearningLstm,NVDA,buy,market,fill,1,gtc,0.0,1,stock,113.125,503,0.0
2020-08-11 09:30:00-04:00,StockMachineLearningLstm,NVDA,sell,market,new,1,gtc,0.0,1,stock,,,
2020-08-11 09:30:00-04:00,StockMachineLearningLstm,NVDA,sell,market,fill,1,gtc,0.0,1,stock,110.7375,504,0.0
2020-08-28 09:30:00-04:00,StockMachineLearningLstm,NVDA,sell,market,new,1,gtc,0.0,1,stock,,,
2020-08-28 09:30:00-04:00,StockMachineLearningLstm,NVDA,sell,market,fill,1,gtc,0.0,1,stock,126.7491,471,0.0
2020-08-31 09:30:00-04:00,StockMachineLearningLstm,NVDA,buy,market,new,1,gtc,0.0,1,stock,,,
2020-08-31 09:30:00-04:00,StockMachineLearningLstm,NVDA,buy,market,fill,1,gtc,0.0,1,stock,131.8279,454,0.0
2020-09-03 09:30:00-04:00,StockMachineLearningLstm,NVDA,sell,market,new,1,gtc,0.0,1,stock,,,
2020-09-03 09:30:00-04:00,StockMachineLearningLstm,NVDA,sell,market,fill,1,gtc,0.0,1,stock,138.2864,443,0.0
2020-09-14 09:30:00-04:00,StockMachineLearningLstm,NVDA,buy,market,new,1,gtc,0.0,1,stock,,,
2020-09-14 09:30:00-04:00,StockMachineLearningLstm,NVDA,buy,market,fill,1,gtc,0.0,1,stock,130.81,467,0.0
2020-10-13 09:30:00-04:00,StockMachineLearningLstm,NVDA,sell,market,new,1,gtc,0.0,1,stock,,,
2020-10-13 09:30:00-04:00,StockMachineLearningLstm,NVDA,sell,market,fill,1,gtc,0.0,1,stock,142.965,448,0.0
2020-10-15 09:30:00-04:00,StockMachineLearningLstm,NVDA,buy,market,new,1,gtc,0.0,1,stock,,,
2020-10-15 09:30:00-04:00,StockMachineLearningLstm,NVDA,buy,market,fill,1,gtc,0.0,1,stock,138.1068,462,0.0
2020-10-29 09:30:00-04:00,StockMachineLearningLstm,NVDA,sell,market,new,1,gtc,0.0,1,stock,,,
2020-10-29 09:30:00-04:00,StockMachineLearningLstm,NVDA,sell,market,fill,1,gtc,0.0,1,stock,128.385,478,0.0
2020-12-09 09:30:00-05:00,StockMachineLearningLstm,NVDA,buy,market,new,1,gtc,0.0,1,stock,,,
2020-12-09 09:30:00-05:00,StockMachineLearningLstm,NVDA,buy,market,fill,1,gtc,0.0,1,stock,133.005,463,0.0
2020-12-17 09:30:00-05:00,StockMachineLearningLstm,NVDA,sell,market,new,1,gtc,0.0,1,stock,,,
2020-12-17 09:30:00-05:00,StockMachineLearningLstm,NVDA,sell,market,fill,1,gtc,0.0,1,stock,133.6675,462,0.0
2020-12-21 09:30:00-05:00,StockMachineLearningLstm,NVDA,buy,market,new,1,gtc,0.0,1,stock,,,
2020-12-21 09:30:00-05:00,StockMachineLearningLstm,NVDA,buy,market,fill,1,gtc,0.0,1,stock,130.7475,471,0.0
2021-01-13 09:30:00-05:00,StockMachineLearningLstm,NVDA,sell,market,new,1,gtc,0.0,1,stock,,,
2021-01-13 09:30:00-05:00,StockMachineLearningLstm,NVDA,sell,market,fill,1,gtc,0.0,1,stock,134.8997,464,0.0
2021-01-19 09:30:00-05:00,StockMachineLearningLstm,NVDA,buy,market,new,1,gtc,0.0,1,stock,,,
2021-01-19 09:30:00-05:00,StockMachineLearningLstm,NVDA,buy,market,fill,1,gtc,0.0,1,stock,130.1625,480,0.0
2021-01-21 09:30:00-05:00,StockMachineLearningLstm,NVDA,sell,market,new,1,gtc,0.0,1,stock,,,
2021-01-21 09:30:00-05:00,StockMachineLearningLstm,NVDA,sell,market,fill,1,gtc,0.0,1,stock,134.1861,473,0.0
